headline,publisher,sentiment,theme
A Look At SmartCentres REIT (TSX:SRU.UN) Valuation After Recent Share Price Momentum,Simply Wall St.,Positive,Valuation
SmartCentres Real Estate Investment Trust (CWYUF) Upgraded to Strong Buy: What Does It Mean for the Stock?,Zacks,Positive,Analyst Rating
Will New Long‑Term Leadership and Governance Deals With Penguin Group Change SmartCentres' (TSX:SRU.UN) Narrative,Simply Wall St.,Neutral,Governance
Best Income Stocks to Buy for April 1st,Zacks,Positive,Income/Dividend
Best Income Stocks to Buy for March 30th,Zacks,Positive,Income/Dividend
A Look At SmartCentres REIT (TSX:SRU.UN) Valuation After Its Recent Share Price Momentum,Simply Wall St.,Positive,Valuation
Is It Too Late To Consider SmartCentres REIT (TSX:SRU.UN) After Strong Multi‑Year Returns,Simply Wall St.,Positive,Returns
SmartCentres Real Estate Investment Trst Q4 Earnings Call Highlights,MarketBeat,Positive,Earnings
SmartCentres Real Estate Investment Trust (CWYUF) Q4 2025 Earnings Call Highlights: Strong NOI ...,GuruFocus.com,Positive,Earnings
A Look At SmartCentres Real Estate Investment Trust (TSX:SRU.UN) Valuation After Recent Share Price Momentum,Simply Wall St.,Positive,Valuation
